key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper	metro	tmp
Valley News	Obama	Kerry					16430					VT	White River Junction	Valley News	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	
Portsmouth Herald	Obama	Kerry	Gore	Clinton	Clinton		11658					NH	Portsmouth	Portsmouth Herald	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	
Yankton Daily Press and Dakotan				Dole								SD	Yankton	Yankton Daily Press and Dakotan	"#<struct CityMetro st=""SD"", city=""Yankton"", fips_state=""46"", fips_place=""73060"", cbsa_code=""49460"", metro_name=""Yankton, SD uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	
Ottumwa Courier	Obama						16904					IA	Ottumwa	Ottumwa Courier	"#<struct CityMetro st=""IA"", city=""Ottumwa"", fips_state=""19"", fips_place=""60465"", cbsa_code=""36900"", metro_name=""Ottumwa, IA uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	
Junction City Daily Union					Clinton							KS	Junction City	Junction City Daily Union	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	
Fort Collins Coloradoan	Obama	Kerry	Gore				26312					CO	Fort Collins	Fort Collins Coloradoan	"#<struct CityMetro st=""CO"", city=""Fort Collins"", fips_state=""08"", fips_place=""27425"", cbsa_code=""22660"", metro_name=""Fort Collins-Loveland, CO MSA"", metro_stature=""MSA"", pop_2007=287574, pop_2000=251494, pop_rank=159, pop_chg_pct_00_07=14.35, pop_chg_pct_avg=2.05, pop_at_or_above=219704696, pop_aoa_pct=72.0, metro_st=""CO"", metro_nickname=""Larimer County"", csa_name=nil>"	
Florida Times Union					GHWBush	71	144391	144391	201352			FL	Jacksonville	Florida Times Union	"#<struct CityMetro st=""FL"", city=""Jacksonville"", fips_state=""12"", fips_place=""35000"", cbsa_code=""27260"", metro_name=""Jacksonville, FL MSA"", metro_stature=""MSA"", pop_2007=1300823, pop_2000=1122750, pop_rank=40, pop_chg_pct_00_07=15.86, pop_chg_pct_avg=2.27, pop_at_or_above=151210211, pop_aoa_pct=49.5, metro_st=""FL"", metro_nickname=""First Coast"", csa_name=nil>"	
New Braunfels Herald Zeitung	McCain						8599					TX	New Braunfels	New Braunfels Herald Zeitung	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	
Houston Post					GHWBush							TX	Houston	Houston Post	"#<struct CityMetro st=""TX"", city=""Houston"", fips_state=""48"", fips_place=""35000"", cbsa_code=""26420"", metro_name=""Houston-Sugar Land-Baytown, TX MSA"", metro_stature=""MSA"", pop_2007=5628101, pop_2000=4715402, pop_rank=6, pop_chg_pct_00_07=19.36, pop_chg_pct_avg=2.77, pop_at_or_above=58817348, pop_aoa_pct=19.3, metro_st=""TX"", metro_nickname=""Greater Houston"", csa_name=""Houston-Baytown-Huntsville, TX CSA"">"	
Times Record News	McCain	none	Bush		GHWBush		28888					TX	Wichita Falls	Times Record News	"#<struct CityMetro st=""TX"", city=""Wichita Falls"", fips_state=""48"", fips_place=""79000"", cbsa_code=""48660"", metro_name=""Wichita Falls, TX MSA"", metro_stature=""MSA"", pop_2007=148148, pop_2000=151524, pop_rank=271, pop_chg_pct_00_07=-2.23, pop_chg_pct_avg=-0.32, pop_at_or_above=240064011, pop_aoa_pct=78.7, metro_st=""TX"", metro_nickname=nil, csa_name=nil>"	
